index;date;country;confirmed;confirmed_DR;confirmed_filtered;confirmed_filtered_DR
309;2020-03-30;United States;165698.0;7.604451294375803;170398.39999999997;6.608112745317446
310;2020-03-30;Israel;4979.0;8.233147804576376;5088.5999999999985;7.879275184990975
311;2020-03-31;China;83065.0;101.16676948385773;82502.99999999999;217.14436805922543
312;2020-03-31;United States;192079.0;6.886041001339244;196020.99999999994;6.950946851188206
313;2020-03-31;Germany;61913.0;12.225638835504311;62529.19999999999;11.502259186692795
314;2020-03-31;South Korea;9786.0;95.33661740558293;9778.599999999999;91.88224121557441
315;2020-03-31;Israel;5717.0;7.855140186915892;5734.799999999999;8.202688949595585
316;2020-04-01;Israel;6413.0;7.953974895397492;6393.999999999998;8.792911495837805
317;2020-04-01;Germany;67366.0;12.354456363395581;67958.99999999999;12.032572456116789
318;2020-04-01;United States;223254.0;6.730036833692405;224898.39999999997;7.233245259938839
319;2020-04-01;South Korea;9887.0;86.53097345132748;9874.399999999998;100.07505970658497
320;2020-04-01;China;83224.0;94.60366552119132;82892.4;214.30112554112557
321;2020-04-02;United States;255530.0;7.04862019511119;255713.99999999994;7.556814590208794
322;2020-04-02;Germany;73522.0;11.646194044850263;73654.99999999999;12.232420739782013
323;2020-04-02;Israel;7132.0;9.075147232037695;7029.5999999999985;9.864277623313772
324;2020-04-02;China;83304.0;696.2147838214785;83290.19999999998;210.60772357723658
325;2020-04-02;South Korea;9976.0;104.03157894736846;9973.399999999998;101.3908281998635
326;2020-04-03;South Korea;10062.0;114.00000000000004;10063.599999999999;105.39605355884389
327;2020-04-03;China;83391.0;997.6806387225554;83385.39999999998;337.4820824881777
328;2020-04-03;Germany;79696.0;11.926682887266834;79615.19999999998;12.653020138066728
329;2020-04-03;Israel;7729.0;10.777102330293825;7634.199999999999;11.319572112024936
330;2020-04-03;United States;287931.0;7.903015497523593;287101.3999999999;8.228046878767914
331;2020-04-04;Germany;85778.0;13.000217580504788;85220.19999999998;13.747587590357282
332;2020-04-04;Israel;8157.0;14.971056910569109;8189.799999999998;13.131988737573984
333;2020-04-04;South Korea;10156.0;111.82962962962966;10142.999999999998;118.63207547169786
334;2020-04-04;China;83467.0;1023.1574642126792;83471.19999999998;921.3510128913443
335;2020-04-04;United States;319776.0;8.957621226743044;318610.19999999995;9.13065866194354
336;2020-04-05;China;83541.0;1112.8844444444449;83552.99999999999;996.0604614160354
337;2020-04-05;United States;349016.0;10.441439524160327;349670.9999999999;10.179411940196735
338;2020-04-05;Germany;91714.0;14.266821989238368;90360.79999999997;15.832601250744508
339;2020-04-05;South Korea;10237.0;116.01904761904767;10213.999999999998;134.84308510638334
340;2020-04-05;Israel;8740.0;16.23870755028025;8676.999999999998;15.66359800537017
341;2020-04-06;Israel;9191.0;16.820116054158614;9112.399999999998;18.772454657128417
342;2020-04-06;Germany;95391.0;18.924581296161456;95067.19999999998;18.323563860397414
343;2020-04-06;South Korea;10284.0;159.7760416666667;10278.399999999998;150.83899556868582
344;2020-04-06;United States;380798.0;11.466793396916959;380464.19999999995;11.303450059818287
345;2020-04-06;China;83653.0;898.4265232974915;83655.59999999998;906.2899493854227
346;2020-04-07;United States;410834.0;12.301142062182542;412010.3999999999;12.214272193829263
